Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7
36492.0,-52.734375,-416.9921875,-389.6484375,-59.5703125,0.0,1762643271.4107113,0.0
36492.0,29.296875,958.984375,77.1484375,-30.76171875,0.0,1762643271.4144423,0.0
36492.0,-8.7890625,985.3515625,552.734375,0.0,0.0,1762643271.4181733,0.0
36492.0,-57.6171875,923.828125,434.08203125,-8.7890625,0.0,1762643271.421904,0.0
36492.0,-85.44921875,988.76953125,-392.08984375,-76.66015625,0.0,1762643271.425635,0.0
36492.0,-57.12890625,928.22265625,-618.1640625,-91.30859375,0.0,1762643271.4293659,0.0
36492.0,-19.53125,980.95703125,183.10546875,-31.25,0.0,1762643271.433097,0.0
36493.0,-47.8515625,944.82421875,571.77734375,-6.8359375,0.0,1762643271.4370768,0.0
36493.0,-145.99609375,-376.953125,-476.5625,-91.30859375,0.0,1762643271.441057,0.0
36493.0,-118.1640625,-1000.0,-608.3984375,-125.9765625,0.0,1762643271.445037,0.0
36493.0,-56.15234375,-936.03515625,-61.03515625,-60.05859375,0.0,1762643271.4490168,0.0
36493.0,-82.51953125,-1000.0,95.21484375,-27.34375,0.0,1762643271.452997,0.0
36493.0,-97.16796875,-1000.0,-135.25390625,-48.828125,0.0,1762643271.456977,0.0
36493.0,-79.58984375,-1000.0,-496.58203125,-80.078125,0.0,1762643271.4609568,0.0
36493.0,-76.66015625,-1000.0,-444.3359375,-83.984375,0.0,1762643271.464937,0.0
36493.0,-81.54296875,-1000.0,-7.8125,-43.45703125,0.0,1762643271.468917,0.0
36493.0,-108.3984375,-1000.0,-332.03125,-57.12890625,0.0,1762643271.4728968,0.0
36493.0,-113.76953125,-1000.0,-980.95703125,-115.72265625,0.0,1762643271.476877,0.0
36493.0,-86.9140625,-1000.0,-1000.0,-114.2578125,0.0,1762643271.480857,0.0
36494.0,-65.91796875,-1000.0,-461.42578125,-50.29296875,0.0,1762643271.4853988,0.0
36494.0,-61.5234375,-928.7109375,-199.21875,-14.6484375,0.0,1762643271.4899404,0.0
36494.0,-96.6796875,-1000.0,-902.83203125,-74.21875,0.0,1762643271.494482,0.0
36494.0,-31.25,-412.59765625,-761.23046875,-87.40234375,0.0,1762643271.499024,0.0
36494.0,65.4296875,960.44921875,164.0625,-1.46484375,0.0,1762643271.5035658,0.0
36494.0,50.78125,984.375,746.09375,49.31640625,0.0,1762643271.5081074,0.0
36494.0,-24.90234375,924.31640625,11.23046875,-22.94921875,0.0,1762643271.512649,0.0
36494.0,-63.4765625,979.00390625,-904.78515625,-100.5859375,0.0,1762643271.517191,0.0
36494.0,-36.62109375,967.28515625,-604.00390625,-67.87109375,0.0,1762643271.5217328,0.0
36494.0,-13.671875,967.28515625,148.4375,3.41796875,0.0,1762643271.5262744,0.0
36494.0,-48.33984375,967.28515625,-300.29296875,-25.390625,0.0,1762643271.530816,0.0
36494.0,-55.17578125,975.5859375,-980.46875,-86.9140625,0.0,1762643271.535358,0.0
36495.0,-25.390625,896.484375,-840.33203125,-65.4296875,0.0,1762643271.5392938,0.0
36495.0,-9.27734375,-895.99609375,-139.16015625,-11.23046875,0.0,1762643271.5432296,0.0
36495.0,-75.68359375,345.21484375,-154.78515625,-20.01953125,0.0,1762643271.5471654,0.0
36495.0,-133.30078125,-1000.0,-938.4765625,-90.8203125,0.0,1762643271.5511012,0.0
36495.0,-102.05078125,-1000.0,-1000.0,-117.1875,0.0,1762643271.555037,0.0
36495.0,-66.89453125,-960.44921875,-479.4921875,-58.59375,0.0,1762643271.5589728,0.0
36495.0,-20.01953125,-1000.0,418.45703125,15.13671875,0.0,1762643271.562909,0.0
36495.0,-64.453125,-1000.0,-437.98828125,-43.45703125,0.0,1762643271.5668447,0.0
36495.0,-79.58984375,-1000.0,-1000.0,-100.5859375,0.0,1762643271.5707805,0.0
